source and reliability	source_and_reliability
identifying information	identifying_information
identify information	identifying_information
activity	activity
procedural complications	complications
procedural complication	complications
studies performed	laboratory_and_radiology_data
study perform	laboratory_and_radiology_data
laboratory data	laboratory_and_radiology_data
icd10 code	icd_code
diagnostic procedure	laboratory_and_radiology_data
plan / recommendations	plan
plan recommendation	plan
hpi / interval history	history_present_illness
hpi interval history	history_present_illness
available pertinent laboratory x ray findings	laboratory_and_radiology_data
available pertinent laboratory x ray finding	laboratory_and_radiology_data
note	comment
discharge activity	discharge_activity
followup	follow_up
recommendations and treatment plan	plan
recommendation and treatment plan	plan
recommendation treatment plan	plan
identifying data/chief complaint	chief_complaint
identify data chief complaint	chief_complaint
procedure note	procedure_note
laboratory and study data	laboratory_and_radiology_data
laboratory study data	laboratory_and_radiology_data
source	history_source
technical _ quality	technical_quality
laboratory data / diagnostic studies	laboratory_and_radiology_data
laboratory data diagnostic study	laboratory_and_radiology_data
past medical history and review of systems	past_medical_history
past medical history and review of system	past_medical_history
past medical history review system	past_medical_history
analysis of identified problems	analysis
analysis of identify problem	analysis
analysis identify problem	analysis
H & P	general_history_and_physical
h p	general_history_and_physical
diagnostics	laboratory_and_radiology_data
operative procedural	operative_procedural
study data	laboratory_and_radiology_data
operative	operative_procedural
p	plan
livingwill _ codestatus	livingwill_codestatus
systems review	review_of_systems
system review	review_of_systems
date _ time	date_time
laboratory and radiographic studies	laboratory_and_radiology_data
laboratory and radiographic study	laboratory_and_radiology_data
laboratory radiographic study	laboratory_and_radiology_data
drugs	medications
drug	medications
post cardioversion plans	plan
post cardioversion plan	plan
icd code	icd_code
clinic visit	clinic_note
reason for admission	chief_complaint
reason admission	chief_complaint
clinical data	laboratory_and_radiology_data
historian	history_source
imaging procedure	laboratory_and_radiology_data
MEDICATIONS / HERBS / SUPPLEMENTS	medications
medication herb supplement	medications
past medical problems	past_medical_history
past medical problem	past_medical_history
references	references
reference	references
findings	findings
finding	findings
history of past illness	past_medical_history
history past illness	past_medical_history
patient hpi	history_present_illness
addition or correction to the admission note	changes_to_admission_note
addition correction admission note	changes_to_admission_note
ros _ pmh _ familyhx _ socialhx	ros_pmh_familyhx_socialhx
ros_pmh_familyhx_socialhx	ros_pmh_familyhx_socialhx
changes_to_admission_note	changes_to_admission_note
changes to admission note	changes_to_admission_note
Therapeutic Plans	plan
therapeutic plan	plan
summary of present illness	history_present_illness
summary present illness	history_present_illness
ancillary studies	laboratory_and_radiology_data
ancillary study	laboratory_and_radiology_data
provider	providers
procedures	procedures
procedure	procedures
Lab and radiological results	laboratory_and_radiology_data
lab and radiological result	laboratory_and_radiology_data
lab radiological result	laboratory_and_radiology_data
code	code_status
chief complaint	chief_complaint
procedure note	procedure_note
clinic note	clinic_note
comparison	laboratory_and_radiology_data
reason for consultation	reason_for_consult
reason consultation	reason_for_consult
reason for exam	reason_for_study
reason exam	reason_for_study
Medications administered	medications
medication administer	medications
type of procedure	type_of_procedure
type procedure	type_of_procedure
history / physical examination	history_present_illness
history physical examination	history_present_illness
patient info	identifying_information
discharge followup plans	discharge_followup
discharge followup plan	discharge_followup
patient identification	identifying_information
available lab and x ray results	laboratory_and_radiology_data
available lab and x ray result	laboratory_and_radiology_data
available lab x ray result	laboratory_and_radiology_data
transport history	transport_history
DS	discharge_summary
ds	discharge_summary
recommendation	plan
past medical history	past_medical_history
Plan / suggestions/disposition	plan
plan suggestion disposition	plan
transport	transport_history
chief concern	chief_complaint
course in the emergency department	hospital_course
course emergency department	hospital_course
transport history	transport_history
procedural	procedures
ros pmh familyhx socialhx	ros_pmh_familyhx_socialhx
