# 15310 - LN 	CL
# 490 	CL
# W7079 	CL
+ / + ( A ) 	CL
+ / + ( B ) 	CL
+ / + Li 	CL
+ / + MGT 	CL
+ / + SCT 	CL
( BF1 ) 8A3 . 31 	CL
00136 	CL
022HU - NSO 	CL
07 - 4D 	CL
1 - 1ras1000 	CL
1 - 1src 	CL
1 - 5c - 4 	CL
1 - 7HB2 	CL
1 - 87 	CL
1 - LN 	CL
1 . 1B4 	CL
1 . 1E7 	CL
1 . 2B4 	CL
1 . 4E7 	CL
10 - 1 . D . 2 	CL
10 - 2 . 16 	CL
10 - 3 . 6 . 2 	CL
10 . 014 pRSV - T 	CL
10 . 84 	CL
10 / 9CRC1 	CL
100 - 310 	CL
1011 - mel 	CL
1013L 	CL
101A 	CL
103 - LCL 	CL
104C1 	CL
105AJ 	CL
105AJ1 . 1 	CL
105AJ3 . 1 	CL
105AJ5 . 1 	CL
105KC 	CL
1066 	CL
1088 - mel 	CL
108CC5 	CL
108CC5 - BU 	CL
108CC5 - BU - 5 	CL
108CC5 - BU - 8 	CL
108CC5 - TG - 1 	CL
108CC5 - TG - 2 	CL
108CC5 - TG - 3 	CL
108CC5 - TG - 4 	CL
108CC5T - BU - 1 	CL
108CC5T - BU - 4 	CL
10B10 	CL
10B9 	CL
10C4 . 1 . 3 	CL
10C7 	CL
10C9 	CL
10D2F6 	CL
10E5 	CL
10F7MN 	CL
10H 	CL
10H - 2 	CL
10H2 . 12 . 1 	CL
10P12 	CL
10P2 	CL
11 - 18 	CL
11 - 18 - ER1 - 7 	CL
11 - 18 - ER2 - 1 	CL
11 - 18 - GEF10 - 1 	CL
11 - 18 - GEF20 - 1 	CL
11 - 26c 	CL
11 - 4 	CL
11 - 4 . 1 	CL
11 - 5 . 2 . 1 . 9 	CL
11 - 5F 	CL
11-9-1 - 4 	CL
11 . 9 	CL
110 - 5 	CL
1102 - mel 	CL
11028 	CL
11031 	CL
1107F - HA 	CL
111 BLCL 	CL
1116NS - 19 - 9 	CL
1116NS - 3d 	CL
111A3 	CL
1125 	CL
1127 	CL
113F1 	CL
114 - 50D4 	CL
114 - 50G2 	CL
1143 - mel 	CL
1156QE / 8 	CL
116 	CL
116 - 13 . 1 	CL
1180 	CL
1181 	CL
1181N1 	CL
1182 - mel 	CL
1183 	CL
1184 	CL
1195 - mel 	CL
1199 - mel 	CL
11a 	CL
11b 	CL
11B11 	CL
11c 	CL
11E10 	CL
11F11 	CL
11H4 . 4 	CL
11P0 - 1 	CL
12 - 1B6 	CL
12 - 2 - 2S ( clone 5F11 ) 	CL
12 - A - 3 	CL
12 . 1 	CL
12 / 44 	CL
12 / 49 	CL
1205Lu 	CL
121 - 15B10 	CL
121 - 19B10 	CL
121 - 1F9 	CL
121 - 3H5 	CL
121 - 4F8 	CL
121 - 5E5 	CL
121 - 8D8 	CL
121 - 9E5 	CL
121 - 9G10 	CL
1218E 	CL
1221 	CL
123 - 10 	CL
123 - 28 	CL
123 . 7 	CL
1242B 	CL
1249 	CL
1255O 	CL
126 BLCL 	CL
127 BLCL 	CL
127 - 24C7 	CL
127 - 24E11 	CL
127 - 38G2 	CL
127 - 42C11 	CL
127 - 50D12 	CL
127 - 50D4 	CL
127 - 53F8 	CL
127 - 60F3 	CL
1273 / 99 	CL
1278 - mel 	CL
127A 	CL
127H 	CL
127TAg 	CL
128 - 2 	CL
1280 - mel 	CL
1286 - mel 	CL
1287 - mel 	CL
129 BLCL 	CL
129 Nu 5002 - 1 Tu 	CL
129 Nu 5010 - 5 Tu 	CL
1290 - mel 	CL
129A3 / 1 	CL
129fc - 1 	CL
129fc - 2 	CL
12A5B7 	CL
12MBr6 	CL
13-5-9 - 6 - 2 	CL
13 - 9B 	CL
13 . 90 . 2 	CL
130 BLCL 	CL
130 - 3 - F7 - 5 	CL
1300 - mel 	CL
1301 	CL
1306 	CL
1308 . 1 	CL
130C3 / 2B / 8 	CL
131 BLCL 	CL
131 - 94H4 	CL
131 . 2F8 . 5 . 9 	CL
1317 - mel 	CL
132 - 1C8 	CL
132 - 7C9 	CL
1321N1 	CL
1321N1 / P2Y1 	CL
1321N1 / P2Y11 	CL
1321N1 / P2Y12 / Galpalpha15 	CL
1321N1 / P2Y2 	CL
1321N1 / P2Y4 	CL
1321N1 / P2Y6 	CL
132C4A / 4 	CL
133 	CL
133 BLCL 	CL
133 - 10F6 	CL
133 - 1E10 	CL
133 - 6C10 	CL
133B 	CL
1359 - mel 	CL
1363 - mel 	CL
1376 - mel 	CL
13762 MAT B III 	CL
1383 - mel 	CL
1388 - mel 	CL
138D 	CL
1390 - mel 	CL
139A 	CL
13C1 	CL
13C4 	CL
14 - 4 - 4S 	CL
14 . 012 . 8 . 1 	CL
14 . 8 	CL
141 - LCL 	CL
141 - LCL - MUC1 	CL
1410 KG7 	CL
1411H 	CL
1411HRQmet 	CL
141PF11 	CL
142 - 24E5 	CL
142BR 	CL
143 - 2 - A6 - 11 	CL
143-4-2 	CL
143 . 98 . 2 	CL
143B 	CL
143B PML BK TK 	CL
144BR 	CL
145 BLCL 	CL
145 - 2C11 	CL
146 - 03E04 	CL
146 - 17A3 	CL
146 - 8D11 	CL
147 BLCL 	CL
147 - 67C6 	CL
1479 - mel 	CL
147A 	CL
148 BLCL 	CL
149 BLCL 	CL
1495 - mel 	CL
149BR 	CL
14C2 	CL
14E5 	CL
14F 	CL
14M 	CL
14M1 	CL
15 - 1 - 5P 	CL
15 - 3 - 1S 	CL
15 - 5 - 5S 	CL
15-79-2 	CL
15 . 84 	CL
150 BLCL 	CL
151 BLCL 	CL
151 - 5 - G2 - 12 	CL
151 - 5 - G3 - 5 	CL
151 - 6 - A7 - 9 	CL
1510 - CPTX 	CL
1512 - CPTX 	CL
1512 - normal 	CL
1519 - CPTX 	CL
1519 - normal 	CL
151TAg 	CL
152 - 6D11 	CL
1520 - mel 	CL
153 . 8E2 . D10 . D6 . 12 . 12 	CL
1532 - CPTX - 1 	CL
1532 - CPTX - 2 	CL
1532 - normal 	CL
1535 - CPTX - 1 	CL
1535 - CPTX - 2 	CL
1535 - normal prostate 	CL
1535 - seminal vesicle 	CL
153BR 	CL
1542 - CPTX - 1 	CL
1542 - CPTX - 2 	CL
1542 - CPTX - 3 	CL
1542 - normal 	CL
1542 - seminal vesicle 	CL
155 	CL
155 - 11C7 	CL
155 - 8G1 	CL
155 - 9F6 	CL
155BR 	CL
156 BLCL 	CL
1563 	CL
1568 	CL
158 BLCL 	CL
